GDP per capita;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Abkhazia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;973;979;985;991;997;1004;1010;1016;1022;1029;1035;1050;1069;1116;1122;1125;1155;1134;1176;1187;1206;1192;1188;1185;1182;1182;1168;1173;1187;1178;1174;1092;1046;1137;1170;1201;1231;1119;1179;1155;1158;1284;1402;1454;1429;1384;1486;1230;1113;1087;1028;1022;941;810;725;872;895;921;947;972;962;862;1053;1097;1067;1146;1173;1298;1311;1548;1637;1695;1893;1884;1877;1925
Akrotiri and Dhekelia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;1797;1807;1816;1825;1834;1842;1851;1859;1867;1875;1883;1965;1968;2048;2108;2222;2244;2387;2493;2594;2724;2744;2832;2926;3023;3129;3242;3359;3475;3587;3712;3849;3988;4174;4177;4178;4182;4188;4194;4201;4218;4227;4237;4248;4259;4267;4281;4294;4307;4325;4350;3081;2877;3172;3457;3941;4326;3909;4434;4912;5305;5730;5913;6274;6672;7075;7476;7977;8644;8994;9374;9640;9811;9961;10160;10620
Algeria;3486;3538;3589;3640;3690;3740;3789;3838;3886;3933;3980;3957;4070;4077;4307;4359;4712;5166;5273;6147;6470;5602;4481;5551;5693;5916;5478;5811;6319;6747;7227;6427;7556;7581;7812;8119;8400;8888;9730;10293;10166;10160;10477;10696;10947;11030;10722;10378;9888;10115;10113;9748;9693;9279;9006;9168;9375;9322;9646;9810;9885;10203;10634;11251;11575;12077;12088;12289;12314;12285;12494;12606;12779;12893;13179;13434
American Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;5891;5992;6095;6200;6306;6414;6524;6636;6750;6866;6984;7550;8163;8825;9541;10315;11152;12056;13034;14091;15234;16469;17805;19248;20809;22496;24320;26291;28422;30726;33216;33032;33969;34892;35264;34092;34041;33964;33476;32471;32055;30795;29907;29143;28394;27829;27560;27932;28216;28449;28417;28029;27218;26011;25907;26143;27180;29729;30819;31940;31662;31794;31866;34500;36330;39787;42738;43442;41426;41735;38982;41958;41926;43735;44929;46577
Angola;2301;2373;2447;2523;2601;2682;2765;2851;2940;3031;3125;3202;3281;3359;3225;3437;3326;3592;3728;3687;3775;4212;4034;4176;4573;4840;5043;5253;5093;5158;5397;5614;5511;5831;5880;5454;5044;4956;4572;4458;4443;4110;3970;3996;4099;4117;4135;4319;4455;4365;4232;4056;3656;2663;2669;2859;3091;3246;3376;3389;3387;3417;3759;3819;4087;4667;5445;6453;7103;7039;7047;7094;7230;7488;7546;7615
Anguilla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;2767;2836;2907;2980;3055;3131;3210;3290;3373;3457;3544;3633;3723;3817;3912;4010;4110;4213;4319;4427;4537;4651;4767;4886;5008;5133;5262;5393;5528;5666;5807;6088;6378;6770;6888;6458;5885;6371;6691;7536;8169;8689;8827;9540;10388;11383;12600;14027;15441;16611;17154;17361;17226;17753;18400;17167;17830;18186;18483;18780;19319;18388;18676;19566;20395;21414;24016;26008;25736;22389;20567;19988;20577;20353;20797;21049
