Year;High_income_countries;Low_income_countries;Middle_income_countries;World
1960;67.99151268;39.16450435;46.38615581;52.47527699
1961;68.3941991;39.56606224;46.92495953;52.98136957
1962;68.44144604;39.96719426;47.56697021;53.40488512
1963;68.66855866;40.37589397;48.33925991;53.93637621
1964;69.04304287;40.79722771;49.24729953;54.61405342
1965;69.1648182;41.23425621;50.25147509;55.28166236
1966;69.41081011;41.68579962;51.30313314;56.02127354
1967;69.61821844;42.14291685;52.33985881;56.73454903
1968;69.58386473;42.5949551;53.31885228;57.34154142
1969;69.76525533;43.03340179;54.20530491;57.95718103
1970;70.08266173;43.44197042;55.00349446;58.55072078
1971;70.35913356;43.80497467;55.71877071;59.07925005
1972;70.60810824;44.11924021;56.38222287;59.56764582
1973;70.76004719;44.39045787;57.02797589;60.01695932
1974;71.11801289;44.63269332;57.65183751;60.51143511
1975;71.34528065;44.87634777;58.24964971;60.95626959
1976;71.54109903;45.15527648;58.81949494;61.37590442
1977;71.82945988;45.48829484;59.3466259;61.79696858
1978;71.97041586;45.87567504;59.83165863;62.1563251
1979;72.21509889;46.30253506;60.27362093;62.51619466
1980;72.23476051;46.75345472;60.68541482;62.80058935
1981;72.5701833;47.21611649;61.06001221;63.13929068
1982;72.91718036;47.67417761;61.40810029;63.46126689
1983;72.98996345;48.11159532;61.74402376;63.70526929
1984;73.17542676;48.51583401;62.06474598;63.96564331
1985;73.36476823;48.86785765;62.37643701;64.21785735
1986;73.76701029;49.15219835;62.68547023;64.51499284
1987;74.00657312;49.36853292;62.99165549;64.76676826
1988;74.10895435;49.52487842;63.28211975;64.97186563
1989;74.28636744;49.63592363;63.56867554;65.19046457
1990;74.39312448;49.7254668;63.84676457;65.38596913
1991;74.50019007;49.82003844;64.1158827;65.57451351
1992;74.52728304;49.93898382;64.37166666;65.73889408
1993;74.37885802;50.08653807;64.62302467;65.86400524
1994;74.57950574;50.25555578;64.87998805;66.07237566
1995;74.74527;50.44771406;65.1443436;66.28304463
1996;75.19329469;50.67526098;65.42204667;66.56460094
1997;75.57920305;50.95136332;65.73164083;66.85745683
1998;75.73205455;51.28624847;66.03345222;67.10117648
1999;75.79753322;51.6860106;66.34747559;67.33906876
2000;75.97346769;52.15507054;66.6640054;67.606314
2001;76.26725389;52.69563561;66.97628826;67.90287483
2002;76.36562079;53.3006556;67.28052919;68.15826299
2003;76.4838828;53.9596388;67.58573463;68.42288964
2004;76.90754209;54.66061772;67.88735762;68.75235777
2005;77.01585677;55.39140336;68.178659;69.01347126
2006;77.42395789;56.14015969;68.47029909;69.33913143
2007;77.72811637;56.89281868;68.75651335;69.64190131
2008;77.90936357;57.63477053;69.03412599;69.91476017
2009;78.2389941;58.35197072;69.31916025;70.22039745
2010;78.43489816;59.03193145;69.58959974;70.48551572
2011;78.74586783;59.66711052;69.85242318;70.76468405
2012;78.93258483;60.25992568;70.10007325;71.00381752
2013;79.12147301;60.81279522;70.34337768;71.24132715
2014;79.24046212;61.3250973;70.57576432;71.45174503
