Year;World;High_income_countries;Middle_income_countries;Low_income_countries
1950;2525149.312;800383.367;1593830.324;130103.438
1951;2571867.515;810059.256;1628935.864;132018.216
1952;2617940.399;820444.884;1662526.452;134093.425
1953;2664029.01;831322.737;1695455.935;136352.786
1954;2710677.773;842518.778;1728428.641;138809.732
1955;2758314.525;853902.408;1761999.422;141467.429
1956;2807246.148;865388.458;1796567.953;144318.123
1957;2857662.91;876935.228;1832384.409;147343.776
1958;2909651.396;888538.529;1869566.412;150517.944
1959;2963216.053;900221.879;1908127.321;153808.786
1960;3018343.828;912006.765;1948061.053;157188.433
1961;3075073.173;923881.209;1989432.501;160642.778
1962;3133554.362;935771.993;2032456.757;164180.179
1963;3194075.347;947532.894;2077533.009;167835.124
1964;3256988.501;958978.208;2125148.394;171657.78
1965;3322495.121;969981.5;2175595.35;175683.056
1966;3390685.523;980469.225;2229031.159;179916.918
1967;3461343.172;990489.056;2285208.663;184342.945
1968;3533966.901;1000187.235;2343498.187;188945.737
1969;3607865.513;1009779.435;2403019.953;193701.378
1970;3682487.691;1019422.062;2463089.58;198588.59
1971;3757734.668;1029167.386;2523551.681;203612.75
1972;3833594.894;1038968.895;2584444.215;208769.614
1973;3909722.12;1048765.96;2645520.62;214017.092
1974;3985733.775;1058458.812;2706547.702;219301.269
1975;4061399.228;1067978.044;2767395.479;224587.75
1976;4136542.07;1077312.243;2827906.758;229867.681
1977;4211322.427;1086499.061;2888180.746;235165.093
1978;4286282.447;1095575.96;2948681.627;240521.361
1979;4362189.531;1104597.791;3010064.501;245995.521
1980;4439632.465;1113605.484;3072827.589;251638.363
1981;4518602.042;1122604.567;3136939.662;257466.559
1982;4599003.374;1131585.368;3202301.486;263493.72
1983;4681210.508;1140554.561;3269235.3;269764.917
1984;4765657.562;1149516.522;3338119.166;276331.665
1985;4852540.569;1158470.505;3409109.138;283234.655
1986;4942056.118;1167419.521;3482386.224;290486.403
1987;5033804.944;1176352.931;3557556.856;298092.145
1988;5126632.694;1185238.029;3633479.014;306072.925
1989;5218978.019;1194031.22;3708615.769;314448.816
1990;5309667.699;1202697.827;3781821.769;323227.228
1991;5398328.753;1211240.166;3852696.336;332433.715
1992;5485115.276;1219659.028;3921410.338;342050.447
1993;5570045.38;1227918.608;3988107.044;351987.725
1994;5653315.893;1235975.535;4053148.612;362123.035
1995;5735123.084;1243807.503;4116837.522;372371.977
1996;5815392.305;1251412.895;4179138.073;382697.537
1997;5894155.105;1258827.982;4240010.613;393134.571
1998;5971882.825;1266118.881;4299782.875;403759.218
1999;6049205.203;1273374.772;4358880.805;414684.35
2000;6126622.121;1280673.313;4417642.837;425992.699
2001;6204310.739;1287991.97;4476238.137;437714.055
2002;6282301.767;1295345.636;4534704.734;449827.124
2003;6360764.684;1302888.832;4593089.199;462302.98
2004;6439842.408;1310818.224;4651390.432;475092.681
2005;6519635.85;1319249.416;4709628.271;488164.37
2006;6600220.247;1328265.888;4767807.307;501506.199
2007;6681607.32;1337760.869;4826020.905;515142.538
2008;6763732.879;1347423.092;4884468.379;529119.915
2009;6846479.521;1356821.675;4943397.117;543502.416
2010;6929725.043;1365642.738;5002954.166;558333.178
2011;7013427.052;1373768.646;5063197.556;573629.146
2012;7097500.453;1381273.74;5123990.425;589368.162
2013;7181715.139;1388271.898;5185033.209;605505.799
2014;7265785.946;1394958.924;5245909.497;621977.594
2015;7349472.099;1401479.077;5306282.966;638734.914
